"film_id","title","rental_rate"
3,"Adaptation Holes","2.99"
4,"Affair Prejudice","2.99"
5,"African Egg","2.99"
6,"Agent Truman","2.99"
9,"Alabama Devil","2.99"
15,"Alien Center","2.99"
16,"Alley Evolution","2.99"
22,"Amistad Midsummer","2.99"
24,"Analyze Hoosiers","2.99"
25,"Angels Life","2.99"
29,"Antitrust Tomatoes","2.99"
30,"Anything Savannah","2.99"
33,"Apollo Teen","2.99"
35,"Arachnophobia Rollercoaster","2.99"
37,"Arizona Bang","2.99"
42,"Artist Coldblooded","2.99"
43,"Atlantis Cause","2.99"
49,"Badman Dawn","2.99"
50,"Baked Cleopatra","2.99"
51,"Balloon Homeward","2.99"
53,"Bang Kwai","2.99"
55,"Barbarella Streetcar","2.99"
56,"Barefoot Manchurian","2.99"
57,"Basic Easy","2.99"
58,"Beach Heartbreakers","2.99"
59,"Bear Graceland","2.99"
62,"Bed Highball","2.99"
67,"Berets Agent","2.99"
69,"Beverly Outlaw","2.99"
72,"Bill Others","2.99"
73,"Bingo Talented","2.99"
78,"Blackout Private","2.99"
80,"Blanket Beverly","2.99"
83,"Blues Instinct","2.99"
94,"Braveheart Human","2.99"
96,"Breaking Home","2.99"
99,"Bringing Hysterical","2.99"
104,"Bugsy Song","2.99"
106,"Bulworth Commandments","2.99"
107,"Bunch Minds","2.99"
115,"Campus Remember","2.99"
116,"Candidate Perdition","2.99"
121,"Carol Texas","2.99"
125,"Cassidy Wyoming","2.99"
129,"Cause Date","2.99"
135,"Chance Resurrection","2.99"
154,"Clash Freddy","2.99"
136,"Chaplin License","2.99"
137,"Charade Duffel","2.99"
138,"Chariots Conspiracy","2.99"
146,"Chitty Lock","2.99"
148,"Chocolate Duck","2.99"
150,"Cider Desire","2.99"
152,"Circus Youth","2.99"
158,"Clones Pinocchio","2.99"
162,"Clueless Bucket","2.99"
166,"Color Philadelphia","2.99"
169,"Comforts Rush","2.99"
175,"Confused Candles","2.99"
180,"Conspiracy Spirit","2.99"
181,"Contact Anonymous","2.99"
184,"Core Suit","2.99"
185,"Cowboy Doom","2.99"
187,"Cranes Reservoir","2.99"
188,"Crazy Home","2.99"
193,"Crossroads Casualties","2.99"
197,"Crusade Honey","2.99"
198,"Crystal Breaking","2.99"
199,"Cupboard Sinners","2.99"
201,"Cyclone Family","2.99"
208,"Dares Pluto","2.99"
209,"Darkness War","2.99"
220,"Deer Virginian","2.99"
223,"Desire Alien","2.99"
230,"Diary Panic","2.99"
