"title","rental_rate"
"Chamber Italian","4.99"
"Grosse Wonderful","4.99"
"Airport Pollock","4.99"
"Bright Encounters","4.99"
"Academy Dinosaur","0.99"
"Ace Goldfinger","4.99"
"Adaptation Holes","2.99"
"Affair Prejudice","2.99"
"African Egg","2.99"
"Agent Truman","2.99"
"Airplane Sierra","4.99"
"Alabama Devil","2.99"
"Aladdin Calendar","4.99"
"Alamo Videotape","0.99"
"Alaska Phantom","0.99"
"Date Speed","0.99"
"Ali Forever","4.99"
"Alice Fantasia","0.99"
"Alien Center","2.99"
"Alley Evolution","2.99"
"Alone Trip","0.99"
"Alter Victory","0.99"
"Amadeus Holy","0.99"
"Amelie Hellfighters","4.99"
"American Circus","4.99"
"Amistad Midsummer","2.99"
"Anaconda Confessions","0.99"
"Analyze Hoosiers","2.99"
"Angels Life","2.99"
"Annie Identity","0.99"
"Anonymous Human","0.99"
"Anthem Luke","4.99"
"Antitrust Tomatoes","2.99"
"Anything Savannah","2.99"
"Apache Divine","4.99"
"Apocalypse Flamingos","4.99"
"Apollo Teen","2.99"
"Arabia Dogma","0.99"
"Arachnophobia Rollercoaster","2.99"
"Argonauts Town","0.99"
"Arizona Bang","2.99"
"Ark Ridgemont","0.99"
"Armageddon Lost","0.99"
"Army Flintstones","0.99"
"Arsenic Independence","0.99"
"Artist Coldblooded","2.99"
"Dying Maker","4.99"
"Atlantis Cause","2.99"
"Attacks Hate","4.99"
"Attraction Newton","4.99"
"Autumn Crow","4.99"
"Baby Hall","4.99"
"Backlash Undefeated","4.99"
"Badman Dawn","2.99"
"Baked Cleopatra","2.99"
"Balloon Homeward","2.99"
"Ballroom Mockingbird","0.99"
"Bang Kwai","2.99"
"Banger Pinocchio","0.99"
"Barbarella Streetcar","2.99"
"Barefoot Manchurian","2.99"
"Basic Easy","2.99"
"Beach Heartbreakers","2.99"
"Bear Graceland","2.99"
"Beast Hunchback","4.99"
"Beauty Grease","4.99"
"Bed Highball","2.99"
"Bedazzled Married","0.99"
"Beethoven Exorcist","0.99"
"Behavior Runaway","4.99"
"Beneath Rush","0.99"
"Berets Agent","2.99"
"Betrayed Rear","4.99"
"Beverly Outlaw","2.99"
"Bikini Borrowers","4.99"
"Bilko Anonymous","4.99"
"Bill Others","2.99"
"Bingo Talented","2.99"
"Birch Antitrust","4.99"
"Bird Independence","4.99"
"Birdcage Casper","0.99"
"Birds Perdition","4.99"
"Blackout Private","2.99"
"Blade Polish","0.99"
"Blanket Beverly","2.99"
"Blindness Gun","4.99"
"Blood Argonauts","0.99"
"Blues Instinct","2.99"
"Boiled Dares","4.99"
"Bonnie Holocaust","0.99"
"Boogie Amelie","4.99"
"Boondock Ballroom","0.99"
"Born Spinal","4.99"
"Borrowers Bedazzled","0.99"
"Boulevard Mob","0.99"
"Bound Cheaper","0.99"
"Bowfinger Gables","4.99"
"Brannigan Sunrise","4.99"
"Braveheart Human","2.99"
"Breakfast Goldfinger","4.99"
"Breaking Home","2.99"
"Bride Intrigue","0.99"
"Bringing Hysterical","2.99"
"Brooklyn Desert","4.99"
"Brotherhood Blanket","0.99"
"Bubble Grosse","4.99"
"Bucket Brotherhood","4.99"
"Bugsy Song","2.99"
"Bull Shawshank","0.99"
"Bulworth Commandments","2.99"
"Bunch Minds","2.99"
"Butch Panther","0.99"
"Butterfly Chocolat","0.99"
"Cabin Flash","0.99"
"Caddyshack Jedi","0.99"
"Calendar Gunfight","4.99"
"California Birds","4.99"
"Camelot Vacation","0.99"
"Campus Remember","2.99"
"Candidate Perdition","2.99"
"Candles Grapes","4.99"
"Canyon Stock","0.99"
"Caper Motions","0.99"
"Caribbean Liberty","4.99"
"Carol Texas","2.99"
"Carrie Bunch","0.99"
"Casablanca Super","4.99"
"Casper Dragonfly","4.99"
"Cassidy Wyoming","2.99"
"Casualties Encino","4.99"
"Cat Coneheads","4.99"
"Catch Amistad","0.99"
"Cause Date","2.99"
"Celebrity Horn","0.99"
"Center Dinosaur","4.99"
"Chainsaw Uptown","0.99"
"Champion Flatliners","4.99"
"Chance Resurrection","2.99"
"Clash Freddy","2.99"
"Chaplin License","2.99"
"Charade Duffel","2.99"
"Chariots Conspiracy","2.99"
"Chasing Fight","4.99"
"Cheaper Clyde","0.99"
"Chicago North","4.99"
"Chicken Hellfighters","0.99"
"Chill Luck","0.99"
"Chinatown Gladiator","4.99"
"Chisum Behavior","4.99"
"Chitty Lock","2.99"
"Chocolat Harry","0.99"
"Chocolate Duck","2.99"
"Christmas Moonshine","0.99"
"Cider Desire","2.99"
"Cincinatti Whisperer","4.99"
"Circus Youth","2.99"
"Citizen Shrek","0.99"
"Cleopatra Devil","0.99"
"Clerks Angels","4.99"
"Clockwork Paradise","0.99"
"Clones Pinocchio","2.99"
"Closer Bang","4.99"
"Club Graffiti","0.99"
"Clue Grail","4.99"
"Clueless Bucket","2.99"
"Clyde Theory","0.99"
"Hawk Chill","0.99"
"Coast Rainbow","0.99"
"Coldblooded Darling","4.99"
"Color Philadelphia","2.99"
"Coma Head","4.99"
"Comancheros Enemy","0.99"
"Comforts Rush","2.99"
"Command Darling","4.99"
"Commandments Express","4.99"
"Coneheads Smoochy","4.99"
"Confessions Maguire","4.99"
"Confidential Interview","4.99"
"Confused Candles","2.99"
"Congeniality Quest","0.99"
"Connecticut Tramp","4.99"
"Connection Microcosmos","0.99"
"Conquerer Nuts","4.99"
"Conspiracy Spirit","2.99"
"Contact Anonymous","2.99"
"Control Anthem","4.99"
"Conversation Downhill","4.99"
"Core Suit","2.99"
"Cowboy Doom","2.99"
"Craft Outfield","0.99"
"Cranes Reservoir","2.99"
"Crazy Home","2.99"
"Creatures Shakespeare","0.99"
"Creepers Kane","4.99"
"Crooked Frogmen","0.99"
"Crossing Divorce","4.99"
"Crossroads Casualties","2.99"
"Crow Grease","0.99"
"Crowds Telemark","4.99"
"Cruelty Unforgiven","0.99"
"Crusade Honey","2.99"
"Crystal Breaking","2.99"
"Cupboard Sinners","2.99"
"Curtain Videotape","0.99"
"Cyclone Family","2.99"
"Daddy Pittsburgh","4.99"
"Daisy Menagerie","4.99"
"Dalmations Sweden","0.99"
"Dances None","0.99"
"Dancing Fever","0.99"
"Dangerous Uptown","4.99"
"Dares Pluto","2.99"
"Darkness War","2.99"
"Darko Dorado","4.99"
"Darling Breaking","4.99"
"Darn Forrester","4.99"
"Daughter Madigan","4.99"
"Dawn Pond","4.99"
"Day Unfaithful","4.99"
"Dazed Punk","4.99"
"Deceiver Betrayed","0.99"
"Deep Crusade","4.99"
"Deer Virginian","2.99"
"Deliverance Mulholland","0.99"
"Desert Poseidon","4.99"
"Desire Alien","2.99"
"Desperate Trainspotting","4.99"
"Destination Jerk","0.99"
"Destiny Saturday","4.99"
"Details Packer","4.99"
"Detective Vision","0.99"
"Devil Desire","4.99"
"Diary Panic","2.99"
"Dinosaur Secretary","2.99"
"Dirty Ace","2.99"
"Disciple Mother","0.99"
"Disturbing Scarface","2.99"
"Divide Monster","2.99"
"Divine Resurrection","2.99"
"Divorce Shining","2.99"
"Doctor Grail","2.99"
"Dogma Family","4.99"
"Dolls Rage","2.99"
"Donnie Alley","0.99"
"Doom Dancing","0.99"
"Doors President","4.99"
"Dorado Notting","4.99"
"Double Wrath","0.99"
"Doubtfire Labyrinth","4.99"
"Downhill Enough","0.99"
"Dozen Lion","4.99"
"Dracula Crystal","0.99"
"Dragon Squad","0.99"
"Dragonfly Strangers","4.99"
"Dream Pickup","2.99"
"Drifter Commandments","4.99"
"Driver Annie","2.99"
"Driving Polish","4.99"
"Drop Waterfront","4.99"
"Drumline Cyclone","0.99"
"Drums Dynamite","0.99"
"Duck Racer","2.99"
"Dude Blindness","4.99"
"Duffel Apocalypse","0.99"
"Dumbo Lust","0.99"
"Durham Panky","4.99"
"Dwarfs Alter","2.99"
"Dynamite Tarzan","0.99"
"Eagles Panky","4.99"
"Early Home","4.99"
"Earring Instinct","0.99"
"Earth Vision","0.99"
"Easy Gladiator","4.99"
"Edge Kissing","4.99"
"Effect Gladiator","0.99"
"Egg Igby","2.99"
"Egypt Tenenbaums","0.99"
"Element Freddy","4.99"
"Elephant Trojan","4.99"
"Elf Murder","4.99"
"Elizabeth Shane","4.99"
"Empire Malkovich","0.99"
"Encino Elf","0.99"
"Encounters Curtain","0.99"
"Ending Crowds","0.99"
"Enemy Odds","4.99"
"English Bulworth","0.99"
"Enough Raging","2.99"
"Entrapment Satisfaction","0.99"
"Escape Metropolis","2.99"
"Eve Resurrection","4.99"
"Everyone Craft","0.99"
"Evolution Alter","0.99"
"Excitement Eve","0.99"
"Exorcist Sting","2.99"
"Expecations Natural","4.99"
"Expendable Stallion","0.99"
"Express Lonely","2.99"
"Extraordinary Conquerer","2.99"
"Eyes Driving","2.99"
"Factory Dragon","0.99"
"Falcon Volume","4.99"
"Family Sweet","0.99"
"Fantasia Park","2.99"
"Fantasy Troopers","0.99"
"Fargo Gandhi","2.99"
"Fatal Haunted","2.99"
"Feathers Metal","0.99"
"Fellowship Autumn","4.99"
"Ferris Mother","2.99"
"Feud Frogmen","0.99"
"Fever Empire","4.99"
"Fiction Christmas","0.99"
"Fiddler Lost","4.99"
"Fidelity Devil","4.99"
"Fight Jawbreaker","0.99"
"Finding Anaconda","0.99"
"Fire Wolves","4.99"
"Fireball Philadelphia","0.99"
"Firehouse Vietnam","0.99"
"Fish Opus","2.99"
"Flamingos Connecticut","4.99"
"Flash Wars","4.99"
"Flatliners Killer","2.99"
"Flight Lies","4.99"
"Flintstones Happiness","4.99"
"Floats Garden","2.99"
"Flying Hook","2.99"
"Fool Mockingbird","4.99"
"Forever Candidate","2.99"
"Forrest Sons","2.99"
"Forrester Comancheros","4.99"
"Forward Temple","2.99"
"Frankenstein Stranger","0.99"
"Head Stranger","4.99"
"Freaky Pocus","2.99"
"Freddy Storm","4.99"
"Freedom Cleopatra","0.99"
"French Holiday","4.99"
"Frida Slipper","2.99"
"Frisco Forrest","4.99"
"Frogmen Breaking","0.99"
"Frontier Cabin","4.99"
"Frost Head","0.99"
