"film_id","title","rental_duration"
133,"Chamber Italian",7
3,"Adaptation Holes",7
27,"Anonymous Human",7
36,"Argonauts Town",7
70,"Bikini Borrowers",7
78,"Blackout Private",7
80,"Blanket Beverly",7
84,"Boiled Dares",7
87,"Boondock Ballroom",7
88,"Born Spinal",7
89,"Borrowers Bedazzled",7
92,"Bowfinger Gables",7
94,"Braveheart Human",7
97,"Bride Intrigue",7
99,"Bringing Hysterical",7
100,"Brooklyn Desert",7
103,"Bucket Brotherhood",7
118,"Canyon Stock",7
122,"Carrie Bunch",7
128,"Catch Amistad",7
130,"Celebrity Horn",7
136,"Chaplin License",7
139,"Chasing Fight",7
144,"Chinatown Gladiator",7
149,"Christmas Moonshine",7
150,"Cider Desire",7
153,"Citizen Shrek",7
157,"Clockwork Paradise",7
165,"Coldblooded Darling",7
172,"Coneheads Smoochy",7
173,"Confessions Maguire",7
181,"Contact Anonymous",7
182,"Control Anthem",7
188,"Crazy Home",7
196,"Cruelty Unforgiven",7
200,"Curtain Videotape",7
201,"Cyclone Family",7
207,"Dangerous Uptown",7
208,"Dares Pluto",7
211,"Darling Breaking",7
212,"Darn Forrester",7
218,"Deceiver Betrayed",7
220,"Deer Virginian",7
223,"Desire Alien",7
224,"Desperate Trainspotting",7
230,"Diary Panic",7
231,"Dinosaur Secretary",7
232,"Dirty Ace",7
240,"Dolls Rage",7
249,"Dracula Crystal",7
270,"Earth Vision",7
279,"Elizabeth Shane",7
280,"Empire Malkovich",7
286,"Enough Raging",7
288,"Escape Metropolis",7
318,"Firehouse Vietnam",7
323,"Flight Lies",7
328,"Forever Candidate",7
330,"Forrester Comancheros",7
332,"Frankenstein Stranger",7
333,"Freaky Pocus",7
342,"Fugitive Maguire",7
347,"Games Bowfinger",7
348,"Gandhi Kwai",7
355,"Ghostbusters Elf",7
357,"Gilbert Pelican",7
362,"Glory Tracy",7
368,"Gone Trouble",7
373,"Graduate Lord",7
377,"Grease Youth",7
379,"Greedy Roots",7
380,"Greek Everyone",7
381,"Grinch Massage",7
387,"Gun Bonnie",7
394,"Hamlet Wisdom",7
400,"Hardly Robbers",7
410,"Heaven Freedom",7
413,"Hedwig Alter",7
420,"Holes Brannigan",7
421,"Holiday Games",7
422,"Hollow Jeopardy",7
423,"Hollywood Anonymous",7
426,"Home Pity",7
430,"Hook Chariots",7
437,"House Dynamite",7
451,"Igby Maker",7
455,"Impossible Prejudice",7
469,"Iron Moon",7
471,"Island Exorcist",7
479,"Jedi Beneath",7
486,"Jet Neighbors",7
498,"Killer Innocent",7
511,"Lawrence Love",7
515,"Legally Secretary",7
516,"Legend Jedi",7
520,"License Weekend",7
521,"Lies Treatment",7
523,"Lights Deer",7
526,"Lock Rear",7
538,"Loverboy Attacks",7
539,"Luck Opus",7
540,"Lucky Flying",7
546,"Madre Gables",7
559,"Married Go",7
569,"Menagerie Rushmore",7
576,"Mighty Luck",7
595,"Moon Bunch",7
605,"Mulholland Beast",7
609,"Muscle Bright",7
610,"Music Boondock",7
611,"Musketeers Wait",7
629,"Notorious Reunion",7
630,"Notting Speakeasy",7
635,"Oklahoma Jumanji",7
637,"Open African",7
638,"Operation Operation",7
639,"Opposite Necklace",7
642,"Order Betrayed",7
644,"Oscar Gold",7
645,"Others Soup",7
648,"Outlaw Hanky",7
658,"Paris Weekend",7
660,"Party Knock",7
663,"Patient Sister",7
668,"Peak Forever",7
671,"Perdition Fargo",7
672,"Perfect Groove",7
676,"Philadelphia Wife",7
690,"Pond Seattle",7
697,"Primary Glass",7
699,"Private Drop",7
709,"Racer Egg",7
718,"Rebel Airport",7
719,"Records Zorro",7
721,"Reds Pocus",7
726,"Reservoir Adaptation",7
731,"Right Cranes",7
735,"Robbers Joon",7
741,"Roman Punk",7
742,"Roof Champion",7
743,"Room Roman",7
756,"Saddle Antitrust",7
761,"Santa Paris",7
765,"Saturn Name",7
780,"Sensibility Rear",7
784,"Shanghai Tycoon",7
786,"Shepherd Midsummer",7
789,"Shock Cabin",7
792,"Shrek License",7
795,"Siege Madre",7
797,"Silence Kane",7
800,"Sinners Atlantis",7
802,"Sky Miracle",7
803,"Slacker Liaisons",7
804,"Sleeping Suspects",7
812,"Smoking Barbarella",7
813,"Smoochy Control",7
817,"Soldiers Evolution",7
826,"Speed Suit",7
828,"Spiking Element",7
829,"Spinal Rocky",7
830,"Spirit Flintstones",7
845,"Stepmom Dream",7
847,"Stock Glass",7
850,"Story Side",7
855,"Streak Ridgemont",7
885,"Texas Watch",7
899,"Towers Hurricane",7
905,"Trainspotting Strangers",7
911,"Trip Newton",7
915,"Truman Crazy",7
921,"Uncut Suicides",7
922,"Undefeated Dalmations",7
923,"Unfaithful Kill",7
924,"Unforgiven Zoolander",7
931,"Valentine Vanishing",7
934,"Vanilla Day",7
937,"Varsity Trip",7
942,"Vietnam Smoochy",7
950,"Volume House",7
952,"Wagon Jaws",7
954,"Wake Jaws",7
955,"Walls Artist",7
956,"Wanda Chamber",7
957,"War Notting",7
961,"Wash Heavenly",7
962,"Wasteland Divine",7
970,"Westward Seabiscuit",7
981,"Wolves Desire",7
983,"Won Dares",7
988,"Worker Tarzan",7
