"film_id","title","replacement_cost"
1,"Academy Dinosaur","20.99"
4,"Affair Prejudice","26.99"
5,"African Egg","22.99"
7,"Airplane Sierra","28.99"
9,"Alabama Devil","21.99"
10,"Aladdin Calendar","24.99"
12,"Alaska Phantom","22.99"
13,"Ali Forever","21.99"
14,"Alice Fantasia","23.99"
16,"Alley Evolution","23.99"
18,"Alter Victory","27.99"
19,"Amadeus Holy","20.99"
20,"Amelie Hellfighters","23.99"
30,"Anything Savannah","27.99"
34,"Arabia Dogma","29.99"
35,"Arachnophobia Rollercoaster","24.99"
37,"Arizona Bang","28.99"
38,"Ark Ridgemont","25.99"
40,"Army Flintstones","22.99"
265,"Dying Maker","28.99"
44,"Attacks Hate","21.99"
47,"Baby Hall","23.99"
48,"Backlash Undefeated","24.99"
49,"Badman Dawn","22.99"
50,"Baked Cleopatra","20.99"
52,"Ballroom Mockingbird","29.99"
53,"Bang Kwai","25.99"
55,"Barbarella Streetcar","27.99"
59,"Bear Graceland","20.99"
60,"Beast Hunchback","22.99"
61,"Beauty Grease","28.99"
62,"Bed Highball","23.99"
63,"Bedazzled Married","21.99"
64,"Beethoven Exorcist","26.99"
65,"Behavior Runaway","20.99"
66,"Beneath Rush","27.99"
67,"Berets Agent","24.99"
68,"Betrayed Rear","26.99"
69,"Beverly Outlaw","21.99"
70,"Bikini Borrowers","26.99"
71,"Bilko Anonymous","25.99"
73,"Bingo Talented","22.99"
76,"Birdcage Casper","23.99"
80,"Blanket Beverly","21.99"
81,"Blindness Gun","29.99"
85,"Bonnie Holocaust","29.99"
89,"Borrowers Bedazzled","22.99"
93,"Brannigan Sunrise","27.99"
96,"Breaking Home","21.99"
97,"Bride Intrigue","24.99"
100,"Brooklyn Desert","21.99"
101,"Brotherhood Blanket","26.99"
102,"Bubble Grosse","20.99"
103,"Bucket Brotherhood","27.99"
105,"Bull Shawshank","21.99"
110,"Cabin Flash","25.99"
112,"Calendar Gunfight","22.99"
114,"Camelot Vacation","26.99"
115,"Campus Remember","27.99"
118,"Canyon Stock","26.99"
119,"Caper Motions","22.99"
123,"Casablanca Super","22.99"
130,"Celebrity Horn","24.99"
132,"Chainsaw Uptown","25.99"
134,"Champion Flatliners","21.99"
135,"Chance Resurrection","22.99"
136,"Chaplin License","26.99"
137,"Charade Duffel","21.99"
138,"Chariots Conspiracy","29.99"
139,"Chasing Fight","21.99"
140,"Cheaper Clyde","23.99"
142,"Chicken Hellfighters","24.99"
